candidate_key,folds,chosen_folds,score_name,primary_col,confirm_preset,filter_preset,barrier,take_profit_mult,stop_loss_mult,max_holding_bars,avg_monthly_return_mean,avg_monthly_return_median,worst_monthly_return_min,max_drawdown_min,profit_factor_mean,positive_month_rate_mean,avg_trades_per_month_mean,robust_score_mean,constraints_ok_rate,monthly_balance_ok_rate,approved_candidate
wfo_exec_heavy|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_72,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.005211000585839204,0.0044469057439264215,0.00040616070166699103,-0.01587493338754764,1.5033478304713015,1.0,5.875,0.015347053601652241,0.0,1.0,False
wfo_exec_heavy|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_48,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.005211000585839204,0.0044469057439264215,0.00040616070166699103,-0.01587493338754764,1.5033478304713015,1.0,5.875,0.015347053601652241,0.0,1.0,False
wfo_exec_heavy|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_72,4,0,wfo_exec_heavy,pred_score_wfo_exec_heavy,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.005211000585839204,0.0044469057439264215,0.00040616070166699103,-0.01587493338754764,1.5033478304713015,1.0,5.875,0.015347053601652241,0.0,1.0,False
rank_balanced_4tf|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_48,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,0.007657279106532203,0.007789818565276468,-0.01098147575381414,-0.020826426279226817,2.1746736728406635,0.625,5.625,0.01009662617623178,0.0,1.0,False
rank_balanced_4tf|sem_confirmacao|sem_filtro|tp1.8_sl1.0_48,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,sem_confirmacao,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,0.007657279106532203,0.007789818565276468,-0.01098147575381414,-0.020826426279226817,2.1746736728406635,0.625,5.625,0.01009662617623178,0.0,1.0,False
rank_balanced_4tf|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_72,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_72,1.8,1.0,72,0.00689750284602951,0.0067624435096537705,-0.016056160399353536,-0.02097423076860272,2.0984612515756167,0.625,7.625,0.007534979759706936,0.0,1.0,False
rank_balanced_4tf|sem_confirmacao|sem_filtro|tp1.8_sl1.0_72,4,0,rank_balanced_4tf,pred_rank_score_balanced_4tf,sem_confirmacao,sem_filtro,tp1.8_sl1.0_72,1.8,1.0,72,0.00689750284602951,0.0067624435096537705,-0.016056160399353536,-0.02097423076860272,2.0984612515756167,0.625,7.625,0.007534979759706936,0.0,1.0,False
rank_directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_directional_1h,pred_rank_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.007624788560307502,0.008402274265743997,-0.012502849610412481,-0.017230892063451075,inf,0.75,3.125,0.019629771883236852,0.0,0.75,False
rank_directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_72,4,0,rank_directional_1h,pred_rank_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,0.007624788560307502,0.008402274265743997,-0.012502849610412481,-0.017230892063451075,inf,0.75,3.125,0.019629771883236852,0.0,0.75,False
rank_directional_1h|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_48,4,0,rank_directional_1h,pred_rank_score_directional_1h,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,0.007624788560307502,0.008402274265743997,-0.012502849610412481,-0.017230892063451075,inf,0.75,3.125,0.019629771883236852,0.0,0.75,False
